ts_code,code6,stock_name,first_time_hms,news_datetime,news_title,news_content,channels,match_hit
000037.SZ,000037,深南电A,10:00:09,2026-07-17 10:24:58,电力板块持续走高 桂冠电力等多股涨停,电力板块盘中持续走高，桂冠电力直线涨停，此前华银电力、乐山电力、深南电A、杭州热电等多股涨停，珈伟新能、九洲集团涨超10%。,eastmoney_724,1
000037.SZ,000037,深南电A,10:00:09,2026-07-17 09:43:06,电力板块异动拉升 华银电力触及涨停,电力板块异动拉升，华银电力触及涨停，乐山电力、深南电A、杭州热电、西昌电力跟涨。,eastmoney_724,1
000676.SZ,000676,智度股份,09:31:03,,,,,0
000779.SZ,000779,甘咨询,10:18:54,,,,,0
001258.SZ,001258,立新能源,09:46:00,,,,,0
001388.SZ,001388,信通电子,09:45:24,,,,,0
002432.SZ,002432,九安医疗,09:25:00,2026-07-17 09:45:00,“一”字涨停 4天3板！逾20万手封单,【“一”字涨停 4天3板！逾20万手封单】今天早盘，Kimi概念股九安医疗集合竞价迎来“一”字涨停，涨停板上逾20万手封单，最新市值为368.99亿元。截至发稿时，该股近4个交易日收获3个涨停板。7月17日凌晨，月之暗面宣布，推出迄今为止公司能力最强的大模型Kimi K3。,eastmoney_724,1
002632.SZ,002632,道明光学,09:30:09,2026-07-17 09:42:44,端侧硬件概念逆势活跃 米奥会展20cm涨停,端侧硬件概念逆势活跃，AI手机、眼镜方向领涨，米奥会展20cm涨停，此前道明光学2连板，格林精密涨超10%，福蓉科技、亿道信息、齐心集团等跟涨。,eastmoney_724,1
002677.SZ,002677,浙江美大,09:25:00,,,,,0
002766.SZ,002766,索菱股份,09:30:00,2026-07-17 09:31:51,智能驾驶概念盘初活跃 索菱股份涨停,智能驾驶概念活跃，索菱股份涨停，大众交通、莱赛激光、万集科技、兴民智通跟涨。,eastmoney_724,1
003001.SZ,003001,中岩大地,09:30:00,,,,,0
300577.SZ,300577,开润股份,09:25:00,2026-07-17 07:26:00,开润股份间接入股！DeepSeek最新估值曝光,【开润股份间接入股！DeepSeek最新估值曝光】开润股份（300577.SZ）7月16日晚间发布的一则关联投资进展公告，意外揭示了国内头部大模型企业杭州深度求索人工智能基础技术研究有限公司（DeepSeek）的最新市场估值。按公告披露的出资比例测算，DeepSeek本轮融资完成后的估值已攀升至约3508.77亿元，成为继IPO传闻之后，市场关注这家“国产大模型一哥”资本动向的又一重要信号。,eastmoney_724,1
300795.SZ,300795,米奥会展,09:38:39,2026-07-17 09:42:44,端侧硬件概念逆势活跃 米奥会展20cm涨停,端侧硬件概念逆势活跃，AI手机、眼镜方向领涨，米奥会展20cm涨停，此前道明光学2连板，格林精密涨超10%，福蓉科技、亿道信息、齐心集团等跟涨。,eastmoney_724,1
600227.SH,600227,赤天化,09:39:34,,,,,0
600236.SH,600236,桂冠电力,10:21:43,2026-07-17 10:24:58,电力板块持续走高 桂冠电力等多股涨停,电力板块盘中持续走高，桂冠电力直线涨停，此前华银电力、乐山电力、深南电A、杭州热电等多股涨停，珈伟新能、九洲集团涨超10%。,eastmoney_724,1
600644.SH,600644,乐山电力,09:45:28,2026-07-17 10:24:58,电力板块持续走高 桂冠电力等多股涨停,电力板块盘中持续走高，桂冠电力直线涨停，此前华银电力、乐山电力、深南电A、杭州热电等多股涨停，珈伟新能、九洲集团涨超10%。,eastmoney_724,1
600644.SH,600644,乐山电力,09:45:28,2026-07-17 09:43:06,电力板块异动拉升 华银电力触及涨停,电力板块异动拉升，华银电力触及涨停，乐山电力、深南电A、杭州热电、西昌电力跟涨。,eastmoney_724,1
600722.SH,600722,金牛化工,09:38:49,,,,,0
600744.SH,600744,华银电力,09:43:18,2026-07-17 10:24:58,电力板块持续走高 桂冠电力等多股涨停,电力板块盘中持续走高，桂冠电力直线涨停，此前华银电力、乐山电力、深南电A、杭州热电等多股涨停，珈伟新能、九洲集团涨超10%。,eastmoney_724,1
600744.SH,600744,华银电力,09:43:18,2026-07-17 09:43:06,电力板块异动拉升 华银电力触及涨停,电力板块异动拉升，华银电力触及涨停，乐山电力、深南电A、杭州热电、西昌电力跟涨。,eastmoney_724,1
600992.SH,600992,贵绳股份,09:40:06,,,,,0
601369.SH,601369,陕鼓动力,09:52:02,2026-07-17 09:56:23,电子特气概念震荡反弹 陕鼓动力触及涨停,电子特气概念震荡反弹，陕鼓动力触及涨停，中巨芯、中船特气、广钢气体、九丰能源、昊华科技跟涨。,eastmoney_724,1
603118.SH,603118,共进股份,09:50:16,2026-07-17 10:01:01,交换机概念逆势拉升 共进股份、星网锐捷双双涨停,交换机概念盘中逆势拉升，共进股份、星网锐捷涨停，东土科技、迪普科技、恒为科技跟涨。,eastmoney_724,1
603161.SH,603161,科华控股,09:33:02,,,,,0
603567.SH,603567,珍宝岛,09:36:46,,,,,0
603580.SH,603580,艾艾精工,09:25:03,,,,,0
605011.SH,605011,杭州热电,10:10:56,2026-07-17 10:24:58,电力板块持续走高 桂冠电力等多股涨停,电力板块盘中持续走高，桂冠电力直线涨停，此前华银电力、乐山电力、深南电A、杭州热电等多股涨停，珈伟新能、九洲集团涨超10%。,eastmoney_724,1
605011.SH,605011,杭州热电,10:10:56,2026-07-17 09:43:06,电力板块异动拉升 华银电力触及涨停,电力板块异动拉升，华银电力触及涨停，乐山电力、深南电A、杭州热电、西昌电力跟涨。,eastmoney_724,1
920305.BJ,920305,云创退,09:47:07,,,,,0
